sample_alias,sample_name,environment,sample_accession,run_accession,ebi_fq_1,ebi_fq_2,fq_1,fq_2
RSZAXPI002304-13,C1,dental,SAMEA2737881,ERR589346,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589346/ERR589346_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589346/ERR589346_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH1_tooth.RSZAXPI002304-13.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH1_tooth.RSZAXPI002304-13.clean.trim.rmhost.2.fq.gz
RSZAXPI002305-14,C3,dental,SAMEA2737882,ERR589347,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589347/ERR589347_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589347/ERR589347_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH3_tooth.RSZAXPI002305-14.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH3_tooth.RSZAXPI002305-14.clean.trim.rmhost.2.fq.gz
RSZAXPI002306-15,C1,saliva,SAMEA2738024,ERR589349,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589349/ERR589349_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589349/ERR589349_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH1_saliva.RSZAXPI002306-15.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH1_saliva.RSZAXPI002306-15.clean.trim.rmhost.2.fq.gz
RSZAXPI002306-15_2,C1,saliva,SAMEA2738025,ERR589348,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589348/ERR589348_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589348/ERR589348_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH1_saliva.RSZAXPI002306-15_2.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH1_saliva.RSZAXPI002306-15_2.clean.trim.rmhost.2.fq.gz
RSZAXPI002307-16,C3,saliva,SAMEA2738112,ERR589350,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589350/ERR589350_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589350/ERR589350_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH3_saliva.RSZAXPI002307-16.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH3_saliva.RSZAXPI002307-16.clean.trim.rmhost.2.fq.gz
RSZAXPI002308-17,C59,dental,SAMEA2737883,ERR589351,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589351/ERR589351_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589351/ERR589351_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH59_tooth.RSZAXPI002308-17.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH59_tooth.RSZAXPI002308-17.clean.trim.rmhost.2.fq.gz
RSZAXPI002309-18,C14,dental,SAMEA2737884,ERR589352,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589352/ERR589352_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589352/ERR589352_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH14_tooth.RSZAXPI002309-18.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH14_tooth.RSZAXPI002309-18.clean.trim.rmhost.2.fq.gz
RSZAXPI002310-19,C89,dental,SAMEA2737885,ERR589353,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589353/ERR589353_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589353/ERR589353_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH89_tooth.RSZAXPI002310-19.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH89_tooth.RSZAXPI002310-19.clean.trim.rmhost.2.fq.gz
RSZAXPI002311-20,C27,dental,SAMEA2737886,ERR589354,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589354/ERR589354_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589354/ERR589354_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH27_tooth.RSZAXPI002311-20.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH27_tooth.RSZAXPI002311-20.clean.trim.rmhost.2.fq.gz
RSZAXPI002312-21,C10,dental,SAMEA2737887,ERR589355,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589355/ERR589355_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589355/ERR589355_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH10_tooth.RSZAXPI002312-21.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH10_tooth.RSZAXPI002312-21.clean.trim.rmhost.2.fq.gz
RSZAXPI002313-22,C18,dental,SAMEA2737888,ERR589356,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589356/ERR589356_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589356/ERR589356_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH18_tooth.RSZAXPI002313-22.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH18_tooth.RSZAXPI002313-22.clean.trim.rmhost.2.fq.gz
RSZAXPI002314-23,C99,dental,SAMEA2737889,ERR589357,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589357/ERR589357_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589357/ERR589357_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH99_tooth.RSZAXPI002314-23.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH99_tooth.RSZAXPI002314-23.clean.trim.rmhost.2.fq.gz
RSZAXPI002315-24,C72,dental,SAMEA2737890,ERR589358,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589358/ERR589358_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589358/ERR589358_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH72_tooth.RSZAXPI002315-24.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH72_tooth.RSZAXPI002315-24.clean.trim.rmhost.2.fq.gz
RSZAXPI002316-25,C13,dental,SAMEA2737891,ERR589359,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589359/ERR589359_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589359/ERR589359_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH13_tooth.RSZAXPI002316-25.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH13_tooth.RSZAXPI002316-25.clean.trim.rmhost.2.fq.gz
RSZAXPI002317-26,C19,dental,SAMEA2737892,ERR589360,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589360/ERR589360_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589360/ERR589360_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH19_tooth.RSZAXPI002317-26.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH19_tooth.RSZAXPI002317-26.clean.trim.rmhost.2.fq.gz
RSZAXPI002318-27,C15H,dental,SAMEA2737893,ERR589361,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589361/ERR589361_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589361/ERR589361_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH15_tooth.RSZAXPI002318-27.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH15_tooth.RSZAXPI002318-27.clean.trim.rmhost.2.fq.gz
RSZAXPI002319-31,C24,dental,SAMEA2737894,ERR589362,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589362/ERR589362_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589362/ERR589362_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH24_tooth.RSZAXPI002319-31.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH24_tooth.RSZAXPI002319-31.clean.trim.rmhost.2.fq.gz
RSZAXPI002320-32,C12,dental,SAMEA2737895,ERR589363,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589363/ERR589363_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589363/ERR589363_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH12_tooth.RSZAXPI002320-32.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH12_tooth.RSZAXPI002320-32.clean.trim.rmhost.2.fq.gz
RSZAXPI002321-33,C70,dental,SAMEA2737896,ERR589364,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589364/ERR589364_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589364/ERR589364_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH70_tooth.RSZAXPI002321-33.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH70_tooth.RSZAXPI002321-33.clean.trim.rmhost.2.fq.gz
RSZAXPI002322-34,C93,dental,SAMEA2737897,ERR589365,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589365/ERR589365_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589365/ERR589365_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH93_tooth.RSZAXPI002322-34.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH93_tooth.RSZAXPI002322-34.clean.trim.rmhost.2.fq.gz
RSZAXPI002323-35,C7,dental,SAMEA2737898,ERR589366,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589366/ERR589366_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589366/ERR589366_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH7_tooth.RSZAXPI002323-35.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH7_tooth.RSZAXPI002323-35.clean.trim.rmhost.2.fq.gz
RSZAXPI002324-37,C40,dental,SAMEA2737899,ERR589367,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589367/ERR589367_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589367/ERR589367_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH40_tooth.RSZAXPI002324-37.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH40_tooth.RSZAXPI002324-37.clean.trim.rmhost.2.fq.gz
RSZAXPI002325-39,C29,dental,SAMEA2737900,ERR589368,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589368/ERR589368_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589368/ERR589368_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH29_tooth.RSZAXPI002325-39.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH29_tooth.RSZAXPI002325-39.clean.trim.rmhost.2.fq.gz
RSZAXPI002326-41,C36,dental,SAMEA2737901,ERR589369,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589369/ERR589369_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589369/ERR589369_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH36_tooth.RSZAXPI002326-41.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH36_tooth.RSZAXPI002326-41.clean.trim.rmhost.2.fq.gz
RSZAXPI002327-43,C35,dental,SAMEA2737902,ERR589370,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589370/ERR589370_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589370/ERR589370_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH35_tooth.RSZAXPI002327-43.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH35_tooth.RSZAXPI002327-43.clean.trim.rmhost.2.fq.gz
RSZAXPI002328-45,C32,dental,SAMEA2737903,ERR589371,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589371/ERR589371_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589371/ERR589371_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH32_tooth.RSZAXPI002328-45.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH32_tooth.RSZAXPI002328-45.clean.trim.rmhost.2.fq.gz
RSZAXPI002329-46,C31,dental,SAMEA2737904,ERR589372,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589372/ERR589372_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589372/ERR589372_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH31_tooth.RSZAXPI002329-46.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH31_tooth.RSZAXPI002329-46.clean.trim.rmhost.2.fq.gz
RSZAXPI002330-47,C26,dental,SAMEA2737905,ERR589373,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589373/ERR589373_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589373/ERR589373_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH26_tooth.RSZAXPI002330-47.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH26_tooth.RSZAXPI002330-47.clean.trim.rmhost.2.fq.gz
RSZAXPI002331-56,C71,dental,SAMEA2737906,ERR589374,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589374/ERR589374_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR589/ERR589374/ERR589374_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH71_tooth.RSZAXPI002331-56.clean.trim.rmhost.1.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA354/ERA354934/fastq/RAH71_tooth.RSZAXPI002331-56.clean.trim.rmhost.2.fq.gz
